INPUT	CODE-NAME	INPUT-TYPE	#sanskrit	#hindi	#marathi	#modi	#bengali	#gurmukhi	#gujarati	#oriya	#tamil	tamils-unused	#telugu	#kannada	#malayalam	#grantha	#roman	#roman-south	#iso
k	ka	consonant	u+0915	u+0915	u+0915	u+1160E	u+0995	u+0A15	u+0A95	u+0B15	u+0B95	u+0B95	u+0C15	u+0C95	u+0D15	u+11315	k	k	k
kh	kha	consonant	u+0916	u+0916	u+0916	u+1160F	u+0996	u+0A16	u+0A96	u+0B16	u+0B95	u+0B95u+00B2	u+0C16	u+0C96	u+0D16	u+11316	kh	kh	kh
g	ga	consonant	u+0917	u+0917	u+0917	u+11610	u+0997	u+0A17	u+0A97	u+0B17	u+0B95	u+0B95u+00B3	u+0C17	u+0C97	u+0D17	u+11317	g	g	g
gh	gha	consonant	u+0918	u+0918	u+0918	u+11611	u+0998	u+0A18	u+0A98	u+0B18	u+0B95	u+0B95u+2074	u+0C18	u+0C98	u+0D18	u+11318	gh	gh	gh
~N | ṅ	nga	consonant	u+0919	u+0919	u+0919	u+11612	u+0999	u+0A19	u+0A99	u+0B19	u+0B99	u+0B99	u+0C19	u+0C99	u+0D19	u+11319	ṅ	ṅ	ṅ
ch	ca	consonant	u+091A	u+091A	u+091A	u+11613	u+099A	u+0A1A	u+0A9A	u+0B1A	u+0B9A	u+0B9A	u+0C1A	u+0C9A	u+0D1A	u+1131A	c	c	c
chh | Ch	cha	consonant	u+091B	u+091B	u+091B	u+11614	u+099B	u+0A1B	u+0A9B	u+0B1B	u+0B9A	u+0B9Au+00B2	u+0C1B	u+0C9B	u+0D1B	u+1131B	ch	ch	ch
j	ja	consonant	u+091C	u+091C	u+091C	u+11615	u+099C	u+0A1C	u+0A9C	u+0B1C	u+0B9C	u+0B9C	u+0C1C	u+0C9C	u+0D1C	u+1131C	j	j	j
jh	jha	consonant	u+091D	u+091D	u+091D	u+11616	u+099D	u+0A1D	u+0A9D	u+0B1D	u+0B9C	u+0B9Cu+00B2	u+0C1D	u+0C9D	u+0D1D	u+1131D	jh	jh	jh
~n	nya	consonant	u+091E	u+091E	u+091E	u+11617	u+099E	u+0A1E	u+0A9E	u+0B1E	u+0B9E	u+0B9E	u+0C1E	u+0C9E	u+0D1E	u+1131E	ñ	ñ	ñ
T	tta	consonant	u+091F	u+091F	u+091F	u+11618	u+099F	u+0A1F	u+0A9F	u+0B1F	u+0B9F	u+0B9F	u+0C1F	u+0C9F	u+0D1F	u+1131F	ṭ	ṭ	ṭ
Th	ttha	consonant	u+0920	u+0920	u+0920	u+11619	u+09A0	u+0A20	u+0AA0	u+0B20	u+0B9F	u+0B9Fu+00B2	u+0C20	u+0CA0	u+0D20	u+11320	ṭh	ṭh	ṭh
D	dda	consonant	u+0921	u+0921	u+0921	u+1161A	u+09A1	u+0A21	u+0AA1	u+0B21	u+0B9F	u+0B9Fu+00B3	u+0C21	u+0CA1	u+0D21	u+11321	ḍ	ḍ	ḍ
Dh	ddha	consonant	u+0922	u+0922	u+0922	u+1161B	u+09A2	u+0A22	u+0AA2	u+0B22	u+0B9F	u+0B9Fu+2074	u+0C22	u+0CA2	u+0D22	u+11322	ḍh	ḍh	ḍh
N	nna	consonant	u+0923	u+0923	u+0923	u+1161C	u+09A3	u+0A23	u+0AA3	u+0B23	u+0BA3	u+0BA3	u+0C23	u+0CA3	u+0D23	u+11323	ṇ	ṇ	ṇ
t	ta	consonant	u+0924	u+0924	u+0924	u+1161D	u+09A4	u+0A24	u+0AA4	u+0B24	u+0BA4	u+0BA4	u+0C24	u+0CA4	u+0D24	u+11324	t	t	t
th	tha	consonant	u+0925	u+0925	u+0925	u+1161E	u+09A5	u+0A25	u+0AA5	u+0B25	u+0BA4	u+0BA4u+00B2	u+0C25	u+0CA5	u+0D25	u+11325	th	th	th
d	da	consonant	u+0926	u+0926	u+0926	u+1161F	u+09A6	u+0A26	u+0AA6	u+0B26	u+0BA4	u+0BA4u+00B3	u+0C26	u+0CA6	u+0D26	u+11326	d	d	d
dh	dha	consonant	u+0927	u+0927	u+0927	u+11620	u+09A7	u+0A27	u+0AA7	u+0B27	u+0BA4	u+0BA4u+2074	u+0C27	u+0CA7	u+0D27	u+11327	dh	dh	dh
n	na	consonant	u+0928	u+0928	u+0928	u+11621	u+09A8	u+0A28	u+0AA8	u+0B28	u+0BA8	u+0BA8	u+0C28	u+0CA8	u+0D28	u+11328	n	n	n
^n	nnna	consonant	u+0929	u+0929	u+0929						u+0BA9	u+0BA9	u+0C29		u+0D29	u+0BA9	ṉ	ṉ	ṉ
p	pa	consonant	u+092A	u+092A	u+092A	u+11622	u+09AA	u+0A2A	u+0AAA	u+0B2A	u+0BAA	u+0BAA	u+0C2A	u+0CAA	u+0D2A	u+1132a	p	p	p
